version_id,id,change_type
v1.0.0,file:///src/components/app.tsx,CREATE
v1.0.0,file:///src/main.ts,CREATE
v1.0.0,file:///src/utils.ts,CREATE
v1.0.0,http://localhost:3000/api/data,CREATE
v1.1.0,file:///src/components/header.tsx,CREATE
v1.1.0,file:///src/main.ts#main_v1.1,CREATE
v1.1.0,file:///src/services/api.ts,CREATE
v1.1.0,https://api.example.com/v1/users?page=1,CREATE
v1.1.0,file:///src/components/app.tsx,DELETE
v1.1.0,file:///src/main.ts,DELETE
v1.1.0,http://localhost:3000/api/data,DELETE
v1.1.0,file:///src/utils.ts,UPDATE
v1.2.0,file:///docs/architecture.md,CREATE
v1.2.0,file:///src/main.ts#main_v1.2,CREATE
v1.2.0,file:///src/types/index.ts,CREATE
v1.2.0,file:///src/utils.ts#updated_utils,CREATE
v1.2.0,file:///tests/unit/utils.test.ts,CREATE
v1.2.0,file:///src/components/header.tsx,DELETE
v1.2.0,file:///src/main.ts#main_v1.1,DELETE
v1.2.0,file:///src/utils.ts,DELETE
v1.2.0,https://api.example.com/v1/users?page=1,DELETE
v1.2.0,file:///src/services/api.ts,UPDATE
v1.2.1,file:///home/nixos/bin/src/kuzu/browse,CREATE
v1.2.1,file:///home/nixos/bin/src/kuzu/browse/application,CREATE
v1.2.1,file:///home/nixos/bin/src/kuzu/browse/application/hooks,CREATE
v1.2.1,file:///home/nixos/bin/src/kuzu/browse/application/usecase,CREATE
v1.2.1,file:///home/nixos/bin/src/kuzu/browse/domain,CREATE
v1.2.1,file:///home/nixos/bin/src/kuzu/browse/domain/entity,CREATE
v1.2.1,file:///home/nixos/bin/src/kuzu/browse/domain/service,CREATE
v1.2.1,file:///home/nixos/bin/src/kuzu/browse/infrastructure,CREATE
v1.2.1,file:///home/nixos/bin/src/kuzu/browse/infrastructure/database,CREATE
v1.2.1,file:///home/nixos/bin/src/kuzu/browse/infrastructure/logger,CREATE
v1.2.1,file:///home/nixos/bin/src/kuzu/browse/infrastructure/repository,CREATE
v1.2.1,file:///home/nixos/bin/src/kuzu/browse/interface,CREATE
v1.2.1,file:///home/nixos/bin/src/kuzu/browse/interface/components,CREATE
v1.2.1,file:///home/nixos/bin/src/kuzu/browse/public,CREATE
v1.2.1,file:///home/nixos/bin/src/kuzu/browse/public/dql,CREATE
v1.2.1,file:///home/nixos/bin/src/kuzu/browse/public/export_data,CREATE
v1.2.1,file:///home/nixos/bin/src/kuzu/browse/src,CREATE
v1.2.1,file:///src/main.ts,CREATE
v1.2.1,file:///src/utils.ts,CREATE
v1.2.1,file:///src/main.ts#main_v1.2,DELETE
v1.2.1,file:///src/utils.ts#updated_utils,DELETE
v0.1.0,file:///home/nixos/bin/src/kuzu/browse,CREATE
v0.1.0,file:///home/nixos/bin/src/kuzu/browse/application,CREATE
v0.1.0,file:///home/nixos/bin/src/kuzu/browse/application/hooks,CREATE
v0.1.0,file:///home/nixos/bin/src/kuzu/browse/application/hooks/useLocationUriTree.ts,CREATE
v0.1.0,file:///home/nixos/bin/src/kuzu/browse/application/hooks/useTreeData.ts,CREATE
v0.1.0,file:///home/nixos/bin/src/kuzu/browse/application/hooks/useVersionData.ts,CREATE
v0.1.0,file:///home/nixos/bin/src/kuzu/browse/application/hooks/useVersionTreeData.ts,CREATE
v0.1.0,file:///home/nixos/bin/src/kuzu/browse/application/services,CREATE
v0.1.0,file:///home/nixos/bin/src/kuzu/browse/application/services/VersionCompletionService.ts,CREATE
v0.1.0,file:///home/nixos/bin/src/kuzu/browse/application/usecase,CREATE
v0.1.0,file:///home/nixos/bin/src/kuzu/browse/application/usecase/buildLocationTree.ts,CREATE
v0.1.0,file:///home/nixos/bin/src/kuzu/browse/application/usecase/buildVersionTree.ts,CREATE
v0.1.0,file:///home/nixos/bin/src/kuzu/browse/application/usecase/createDatabaseData.ts,CREATE
v0.1.0,file:///home/nixos/bin/src/kuzu/browse/application/usecase/createSchema.ts,CREATE
v0.1.0,file:///home/nixos/bin/src/kuzu/browse/application/usecase/getLocationUrisByScheme.ts,CREATE
v0.1.0,file:///home/nixos/bin/src/kuzu/browse/application/usecase/getLocationUris.ts,CREATE
v0.1.0,file:///home/nixos/bin/src/kuzu/browse/application/usecase/getVersionedLocationUris.ts,CREATE
v0.1.0,file:///home/nixos/bin/src/kuzu/browse/application/usecase/validation,CREATE
v0.1.0,file:///home/nixos/bin/src/kuzu/browse/application/usecase/validation/versionBatchValidation.ts,CREATE
v0.1.0,file:///home/nixos/bin/src/kuzu/browse/application/utils,CREATE
v0.1.0,file:///home/nixos/bin/src/kuzu/browse/application/utils/cacheUtils.ts,CREATE
v0.1.0,file:///home/nixos/bin/src/kuzu/browse/application/utils/versionComparator.ts,CREATE
v0.1.0,file:///home/nixos/bin/src/kuzu/browse/build.ts,CREATE
v0.1.0,file:///home/nixos/bin/src/kuzu/browse/CONVENTION.md,CREATE
v0.1.0,file:///home/nixos/bin/src/kuzu/browse/deno.json,CREATE
v0.1.0,file:///home/nixos/bin/src/kuzu/browse/domain,CREATE
v0.1.0,file:///home/nixos/bin/src/kuzu/browse/domain/constants,CREATE
v0.1.0,file:///home/nixos/bin/src/kuzu/browse/domain/constants/versionFormats.ts,CREATE
v0.1.0,file:///home/nixos/bin/src/kuzu/browse/domain/service,CREATE
v0.1.0,file:///home/nixos/bin/src/kuzu/browse/domain/service/locationTreeBuilder.ts,CREATE
v0.1.0,file:///home/nixos/bin/src/kuzu/browse/domain/service/locationUriGrouper.ts,CREATE
v0.1.0,file:///home/nixos/bin/src/kuzu/browse/domain/service/locationUriParser.ts,CREATE
v0.1.0,file:///home/nixos/bin/src/kuzu/browse/domain/service/locationUriValidator.ts,CREATE
v0.1.0,file:///home/nixos/bin/src/kuzu/browse/domain/service/versionParser.ts,CREATE
v0.1.0,file:///home/nixos/bin/src/kuzu/browse/domain/service/versionTreeBuilder.ts,CREATE
v0.1.0,file:///home/nixos/bin/src/kuzu/browse/domain/types.ts,CREATE
v0.1.0,file:///home/nixos/bin/src/kuzu/browse/domain/validation,CREATE
v0.1.0,file:///home/nixos/bin/src/kuzu/browse/domain/validation/node,CREATE
v0.1.0,file:///home/nixos/bin/src/kuzu/browse/domain/validation/node/locationUriValidation.ts,CREATE
v0.1.0,file:///home/nixos/bin/src/kuzu/browse/domain/validation/node/versionStateValidation.ts,CREATE
v0.1.0,file:///home/nixos/bin/src/kuzu/browse/domain/validation/semverValidator.ts,CREATE
v0.1.0,file:///home/nixos/bin/src/kuzu/browse/domain/validation/validationError.ts,CREATE
v0.1.0,file:///home/nixos/bin/src/kuzu/browse/domain/validation/validationResult.ts,CREATE
v0.1.0,file:///home/nixos/bin/src/kuzu/browse/index.html,CREATE
v0.1.0,file:///home/nixos/bin/src/kuzu/browse/index.tsx,CREATE
v0.1.0,file:///home/nixos/bin/src/kuzu/browse/infrastructure,CREATE
